comuna;educacional_parental;almuerzo;taller_apoyo;matematicas;lectura;escritura;sexo
 Lo_Prado;postgrado;beca;no;0.5;0.67;0.73;M
 Nunoa;primaria;estandar;si;0.88;0.74;0.75;H
 Las_Condes;tecnica;estandar;no;0.59;0.62;0.69;M
 Las_Condes;primaria;beca;no;0.32;0.34;0.38;M
 Pudahuel;secundaria;beca;no;0.36;0.29;0.27;H
 Pudahuel;primaria;beca;si;0.63;0.78;0.79;M
 Nunoa;tecnica;estandar;si;0.67;0.54;0.63;H
 Nunoa;primaria;estandar;si;0.65;0.78;0.82;M
 Nunoa;postgrado;estandar;no;0.85;0.84;0.89;H
 Santiago;postgrado;estandar;no;0.73;0.78;0.74;M
 Lo_Prado;secundaria;beca;si;0.34;0.48;0.41;M
 Nunoa;profesional;beca;si;0.93;1.0;1.0;M
 Nunoa;primaria;beca;no;0.67;0.84;0.84;M
 Nunoa;tecnica;estandar;no;0.88;0.77;0.77;H
 Pudahuel;secundaria;estandar;no;0.57;0.48;0.51;H
 Nunoa;tecnica;estandar;si;0.79;0.84;0.91;M
 Santiago;profesional;beca;no;0.67;0.75;0.72;M
 Las_Condes;profesional;estandar;si;0.7;0.64;0.7;H
 Nunoa;profesional;beca;no;0.5;0.42;0.48;H
 Lo_Prado;tecnica;estandar;no;0.69;0.84;0.82;M
 Santiago;profesional;estandar;si;0.52;0.61;0.66;M
 Santiago;profesional;beca;si;0.47;0.62;0.66;M
 Pudahuel;tecnica;beca;no;0.46;0.61;0.55;M
 Las_Condes;tecnica;estandar;no;0.68;0.7;0.66;M
 Las_Condes;profesional;estandar;si;1.0;1.0;1.0;H
 Santiago;secundaria;estandar;no;0.44;0.61;0.52;M
 Santiago;tecnica;estandar;si;0.57;0.77;0.8;M
 Pudahuel;tecnica;estandar;si;0.91;0.96;0.91;H
 Nunoa;secundaria;beca;no;0.69;0.7;0.67;H
 Santiago;secundaria;beca;no;0.35;0.53;0.46;M
 Nunoa;secundaria;estandar;no;0.72;0.66;0.66;H
 Pudahuel;tecnica;beca;no;0.54;0.65;0.65;M
 Nunoa;secundaria;beca;no;0.74;0.7;0.69;H
 Las_Condes;primaria;estandar;si;0.74;0.64;0.6;H
 Las_Condes;tecnica;beca;no;0.64;0.56;0.52;H
 Nunoa;secundaria;beca;si;0.65;0.61;0.71;M
 Las_Condes;tecnica;beca;si;0.46;0.43;0.44;H
 Santiago;primaria;beca;no;0.48;0.56;0.51;M
 Santiago;tecnica;beca;si;0.67;0.74;0.7;H
 Nunoa;tecnica;beca;no;0.62;0.57;0.62;H
 Nunoa;tecnica;beca;si;0.61;0.71;0.73;H
 Santiago;profesional;beca;si;0.7;0.75;0.74;H
 Santiago;tecnica;estandar;si;0.98;0.87;0.9;H
 Nunoa;tecnica;beca;no;0.7;0.63;0.58;H
 Lo_Prado;tecnica;estandar;no;0.67;0.57;0.53;H
 Las_Condes;secundaria;beca;no;0.57;0.58;0.57;M
 Nunoa;tecnica;estandar;si;0.85;0.81;0.85;H
 Nunoa;primaria;estandar;si;0.77;0.68;0.69;H
 Santiago;postgrado;beca;si;0.72;0.66;0.72;H
 Nunoa;postgrado;estandar;no;0.78;0.91;0.96;M
 Santiago;secundaria;estandar;no;0.81;0.66;0.64;H
 Lo_Prado;primaria;beca;si;0.61;0.62;0.61;H
 Pudahuel;secundaria;estandar;no;0.58;0.68;0.61;M
 Santiago;tecnica;estandar;no;0.54;0.61;0.58;M
 Pudahuel;secundaria;estandar;no;0.82;0.82;0.8;H
 Nunoa;tecnica;beca;no;0.49;0.58;0.6;M
 Pudahuel;primaria;beca;si;0.49;0.5;0.52;H
 Las_Condes;secundaria;beca;si;0.57;0.75;0.73;M
 Las_Condes;secundaria;estandar;no;0.94;0.73;0.71;H
 Nunoa;tecnica;estandar;si;0.75;0.77;0.83;M
 Las_Condes;primaria;beca;no;0.74;0.74;0.72;M
 Santiago;secundaria;estandar;si;0.58;0.52;0.54;H
 Santiago;tecnica;estandar;no;0.62;0.69;0.69;M
 Las_Condes;tecnica;estandar;no;0.72;0.57;0.62;H
 Santiago;tecnica;estandar;no;0.84;0.87;0.81;H
 Nunoa;postgrado;estandar;no;0.92;1.0;1.0;M
 Nunoa;secundaria;estandar;no;0.45;0.63;0.59;M
 Santiago;secundaria;estandar;no;0.75;0.81;0.71;H
 Lo_Prado;tecnica;estandar;no;0.56;0.58;0.64;M
 Nunoa;primaria;beca;no;0.48;0.54;0.53;M
 Las_Condes;tecnica;estandar;no;1.0;1.0;1.0;M
 Santiago;primaria;beca;si;0.65;0.76;0.75;M
 Nunoa;tecnica;estandar;no;0.72;0.57;0.58;H
 Nunoa;tecnica;estandar;no;0.62;0.7;0.72;M
 Lo_Prado;primaria;estandar;si;0.66;0.68;0.64;H
 Santiago;tecnica;estandar;no;0.63;0.63;0.6;H
 Las_Condes;tecnica;estandar;no;0.68;0.76;0.67;M
 Pudahuel;profesional;estandar;no;0.75;0.84;0.8;M
 Nunoa;profesional;estandar;no;0.89;1.0;1.0;M
 Santiago;primaria;estandar;si;0.78;0.72;0.69;H
 Lo_Prado;secundaria;beca;si;0.53;0.5;0.6;M
 Nunoa;tecnica;beca;no;0.49;0.65;0.61;M
 Lo_Prado;tecnica;estandar;no;0.54;0.63;0.67;M
 Santiago;tecnica;estandar;si;0.64;0.82;0.77;M
 Pudahuel;tecnica;beca;si;0.6;0.62;0.6;H
 Santiago;tecnica;estandar;no;0.62;0.65;0.58;H
 Nunoa;secundaria;estandar;si;0.55;0.41;0.48;H
 Santiago;tecnica;estandar;no;0.91;0.95;0.94;M
 Pudahuel;secundaria;beca;no;0.08;0.24;0.23;M
 Nunoa;primaria;estandar;no;0.81;0.78;0.78;H
 Pudahuel;primaria;estandar;si;0.79;0.85;0.86;H
 Lo_Prado;tecnica;estandar;si;0.78;0.87;0.91;M
 Santiago;primaria;estandar;no;0.74;0.75;0.82;M
 Lo_Prado;secundaria;estandar;no;0.57;0.51;0.54;H
 Santiago;tecnica;estandar;no;0.4;0.59;0.51;M
 Las_Condes;primaria;estandar;si;0.81;0.75;0.76;H
 Lo_Prado;primaria;beca;no;0.44;0.45;0.45;M
 Nunoa;tecnica;beca;si;0.67;0.86;0.83;M
 Las_Condes;secundaria;beca;si;0.86;0.81;0.75;H
 Pudahuel;primaria;estandar;si;0.65;0.82;0.78;M
 Nunoa;tecnica;beca;no;0.55;0.76;0.76;M
 Nunoa;profesional;beca;no;0.62;0.72;0.74;M
 Lo_Prado;secundaria;estandar;no;0.63;0.63;0.62;H
 Las_Condes;postgrado;estandar;si;0.88;0.99;0.95;M
 Santiago;secundaria;beca;no;0.62;0.55;0.55;H
 Santiago;secundaria;beca;si;0.59;0.71;0.65;M
 Nunoa;tecnica;estandar;si;0.68;0.78;0.77;M
 Nunoa;tecnica;beca;no;0.77;0.86;0.86;M
